subject_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P60568	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9_Q14213	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
97	901.60059	415.52958		109.30601	7.9718	9.49986	20.37803	0.40508	0.22435	122.42998	1027.86192			1.9312	146.24129	67.68613	14.68857	7.80562	0.61436	72.50134	397.11556	3.53617	135.06495	224.21932	7.91203		238.37048	11.3538	130.49613	152.03491	452.34573	400.93272		92.51798	48.89732	4.71565	115.19329	207.32049	0.45251	3.34832		1.29566	816.66175	82.66606	16.67312
98	251.56221	450.73645		67.40222	5.24828	8.95456	11.04632	0.13971		203.57258	550.50992			1.5378	109.08988	86.06082	8.21902	6.25486	2.23835	67.86508	315.64584	1.21132	112.83827	265.85983	5.27931		142.84809	9.51682	173.05344	75.18835	318.91323	263.88837		423.97766	45.4112	1.21351	30.68935	268.20174	0.28718	8.32455		2.2608	322.34612	75.23578	12.47474
99	285.41022	355.57167		137.10135	8.75714	8.14648	15.61192	0.19252		67.65542	479.185			2.82369	139.55056	125.7787	10.26051	9.02444	0.82806	87.53113	236.45076	5.87546	181.59035	263.22501	5.31058	8.90609	126.60385	7.95902	213.24786	86.91265	386.422	155.01873		97.67189	65.01426	2.29902	49.6881	236.31902	0.19411	3.28766	1.1529	2.80492	228.52392	95.02642	7.19088
100	881.02115	399.46101		343.71722	4.20003	5.30428	10.2388	0.43699	0.20839	111.31816	409.95087			3.55398	98.13427	95.53234	4.94981	5.1702	1.13264	100.72472	231.04552	1.20799	104.6182	165.97959	3.31943	0.57925	293.06221	7.814	167.79663	49.81707	263.55015	213.61483		124.33631	21.59157	2.01729	58.38949	247.9547	0.29151	3.7496			385.4706	298.71092	21.04488
101	263.73676	371.72011		95.5723	7.30615	9.05992	10.82915	0.1983		72.67293	457.21626			4.82458	127.76745	65.98829	11.84968	9.00873	0.67506	76.65022	236.07428	5.85284	162.44173	204.44962	3.31139		156.43648	7.47851	162.19122	55.71723	358.1628	212.2143		48.86762	22.30873	3.08182	39.92833	173.73385	0.28028	9.27329			288.74013	892.38428	9.12969
102	14.85648	288.39756		18.76759	7.13626	7.78108	53.88552	0.70246	3.77283	51.16721	52.56783	6.81841	1.09041	2.83267	134.50113	416.46264	1.80909	3.52394	6.49462	35.68327	168.60064	1.91158	200.73855	170.9688	3.26471	9.08629	99.08275	8.19105	151.72664	73.34253	295.77295	58.37848		36.98033	25.07164	5.25585	31.12261	345.16428	2.46015	11.58946	10.05495	8.00823	20.63065	64.56018	13.56425
103	417.74003	475.34116		77.1942	5.61631	17.55382	19.82248	0.27287		63.00748	444.86321			1.61381	122.22417	109.17388	4.03053	5.76463	0.60077	43.121	266.73016	0.83671	116.60606	201.2175	4.37624		218.03785	9.75692	189.12667	92.06052	313.33535	258.87312		37.19798	37.64745	1.94615	55.91967	298.09038	0.95824	6.46673			613.25753	63.6379	18.68665
104	22.66806	287.02646		16.16944	6.0213	5.04883	54.48045	0.79257	3.55596	68.17143	126.90936	6.73773	1.05652	3.23126	113.25352	370.28411	2.06845	2.69977	6.20275	27.29454	156.20272	1.51671	188.55778	183.5224	2.44662	7.30309	103.45311	8.36038	150.2188	76.6471	280.60341	57.4743		295.8505	43.13489	4.74673	39.39441	338.92844	1.873	6.10362	8.6362	7.275	28.9733	72.33804	13.7015
105	21.47815	270.75548		16.01681	5.84372	4.95063	48.8468	0.73284	3.57251	64.10534	122.02023	6.27614	1.08256	3.04422	112.14957	365.24524	1.79693	2.51013	5.83936	27.18796	144.86156	1.41379	180.5628	179.27373	2.46341	6.58781	103.94572	7.48973	190.57765	71.10266	279.44621	55.00659		54.99075	44.00311	4.53936	38.78584	326.92496	2.03276	12.8235	8.28466	6.73494	27.40855	63.26143	13.43532
107																													159.00462					160.25925	24.18002					4.59381					
108	260.85952	243.92992		123.58887	5.33428	7.05195	20.84304	0.2096		202.44007	339.96332			4.51624	169.36238	95.47927	5.35216	7.89013	0.7594	90.81951	207.43104	1.81174	112.7415	217.2232	12.48499		185.39223	12.26175	263.06106	89.49245	328.12153	127.66389		384.47582	27.52602	1.60524	30.37183	234.55739	0.17988	6.48395			139.21748	135.60594	10.20298
109	361.84519	502.22824		235.7986	4.37414	14.90364	16.43597	0.13272	0.20104	51.14299	654.33035			1.35074	113.99981	109.39483	6.09684	5.69263	1.1497	54.82438	254.50107	0.62761	114.00943	191.60931	4.01465		229.35483	8.90507	101.68433	75.35212	274.70951	277.59615		402.2294	38.53606	1.83186	48.06772	240.45802	1.26898	7.9082			686.72085	52.48934	16.30916
110	318.35006	422.60292		77.54767	5.18662	9.0137	13.08735	0.10574		61.60419	1010.55037			1.46786	141.39368	81.30332	7.84362	2.87922	0.6111	54.84105	551.29684	0.76497	104.54061	186.75344	6.88847		229.83129	10.81071	174.50072	145.51781	385.81233	414.54237		136.90079	72.77799	2.60449	69.72458	151.89793	0.55054	2.36952		1.22499	848.166	69.0654	17.70953
111	390.70899	356.5382		111.96424	13.38676	10.46716	13.06723	0.15984		80.42075	1088.54046			2.40577	154.67925	72.38532	12.20121	7.53755	0.99182	63.79657	212.19772	7.05892	229.51692	302.52303	3.60729		146.64178	10.28425	173.20262	102.76232	330.2034	220.36711		49.44246	42.16713	2.67173	38.53219	168.90035	0.15897	13.38959		1.52169	545.37203	116.48701	10.47034
112	432.08657	468.05326		196.95434	4.2682	8.51849	12.3773	0.139		76.40176	520.04486			0.36228	114.77069	70.53811	8.60727	4.1188	1.16767	68.79918	312.6166	1.37534	111.34097	250.65895	3.68015		227.98888	10.56894	142.96911	74.43112	417.17133	435.14607		235.00858	31.69297	1.45239	35.35367	234.9713	0.21892	5.73725		0.41162	386.91179	56.54516	13.5598
114					1.08376																								122.80435					95.04874	48.24474					5.59577					
115	238.33634	312.34359		223.26359	3.74942	7.05396	17.91125	0.16726		132.19521	427.96635			1.69897	145.92351	89.48762	4.93008	8.5685	0.81596	69.52644	231.74625	0.31024	104.02858	177.6218	5.69117		346.18032	12.56331	105.16992	82.76277	418.8246	148.36633		92.66801	27.52683	6.51925	32.22645	247.64045	0.27124	2.48643		0.51194	181.43039	125.91227	10.96231
116	401.78289	392.9247		308.19672	5.70311	7.75643	11.64521	0.07242	0.3823	75.46933	682.01099			1.84805	106.30885	108.86367	4.98763	4.82094	1.01948	54.26124	280.31468	0.4212	81.70383	214.67686	7.87966		274.8142	7.05882	208.4547	62.65535	376.91221	247.02682		166.39009	33.93761	2.09941	45.34332	304.51684	0.74418	11.54613		2.46888	327.59828	275.40803	22.136
117	851.19221	341.37264		256.48578	5.01599	7.18547	16.59767	0.11304		103.1578	538.52029			1.5078	109.75741	96.33819	4.63615	5.13447	0.86956	55.50218	294.87445	0.42307	74.23376	178.43982	7.09313	0.64016	328.30537	7.59142	164.43832	56.35339	366.63674	256.94063		95.73054	21.65006	2.10555	42.59187	258.72007	0.92049	6.30473		1.57458	391.71488	288.21245	27.03507
118	1834.73161	415.38038		126.77885	5.38364	11.81744	18.98293	8.19462		271.14277	1151.48198	0.24266		4.19414	152.86405	98.57053	6.08815	7.60286	0.61156	166.23255	725.57651	1.11382	101.96399	217.93927	9.91386		296.67445	22.26563	197.03161	130.64862	481.02864	420.37663		92.25812	28.40086	3.18153	187.34539	167.17956	0.74823	5.19007		1.56374	868.65589	108.5062	12.25647
